catalogCode,brand,name,variant,sizeValue,sizeUnit,categorySlug,unit,barcode,ivaRate,priceInputMode,priceTotal,synonyms,tags,imageKey,source
MX-BEV-COCACOLA-REFRESCOCOLA-235ML,Coca-Cola,Refresco cola,,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,coca-cola 235ml|coca-cola 235|refresco cola 235ml|refresco cola 235|coca-cola refresco cola,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-355ML,Coca-Cola,Refresco cola,,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,coca-cola 355ml|coca-cola 355|refresco cola 355ml|refresco cola 355|coca-cola refresco cola,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-450ML,Coca-Cola,Refresco cola,,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,coca-cola 450ml|coca-cola 450|refresco cola 450ml|refresco cola 450|coca-cola refresco cola,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-600ML,Coca-Cola,Refresco cola,,600,ML,beverages,PIECE,,0.16,INCLUDES_IVA,23.00,coca-cola 600ml|coca-cola 600|refresco cola 600ml|refresco cola 600|coca-cola refresco cola,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-1L,Coca-Cola,Refresco cola,,1,L,beverages,PIECE,,0.16,INCLUDES_IVA,38.00,coca-cola 1l|coca-cola 1|refresco cola 1l|refresco cola 1|coca-cola refresco cola,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-2L,Coca-Cola,Refresco cola,,2,L,beverages,PIECE,,0.16,INCLUDES_IVA,58.00,coca-cola 2l|coca-cola 2|refresco cola 2l|refresco cola 2|coca-cola refresco cola,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-235ML-ZERO,Coca-Cola,Refresco cola,Zero,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,coca-cola 235ml|coca-cola 235|refresco cola zero 235ml|refresco cola zero 235|coca-cola refresco cola zero,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-355ML-ZERO,Coca-Cola,Refresco cola,Zero,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,coca-cola 355ml|coca-cola 355|refresco cola zero 355ml|refresco cola zero 355|coca-cola refresco cola zero,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-450ML-ZERO,Coca-Cola,Refresco cola,Zero,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,coca-cola 450ml|coca-cola 450|refresco cola zero 450ml|refresco cola zero 450|coca-cola refresco cola zero,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-600ML-ZERO,Coca-Cola,Refresco cola,Zero,600,ML,beverages,PIECE,,0.16,INCLUDES_IVA,23.00,coca-cola 600ml|coca-cola 600|refresco cola zero 600ml|refresco cola zero 600|coca-cola refresco cola zero,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-1L-ZERO,Coca-Cola,Refresco cola,Zero,1,L,beverages,PIECE,,0.16,INCLUDES_IVA,38.00,coca-cola 1l|coca-cola 1|refresco cola zero 1l|refresco cola zero 1|coca-cola refresco cola zero,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-2L-ZERO,Coca-Cola,Refresco cola,Zero,2,L,beverages,PIECE,,0.16,INCLUDES_IVA,58.00,coca-cola 2l|coca-cola 2|refresco cola zero 2l|refresco cola zero 2|coca-cola refresco cola zero,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-235ML-LIGHT,Coca-Cola,Refresco cola,Light,235,ML,beverages,PIECE,,0.16,INCLUDES_IVA,15.00,coca-cola 235ml|coca-cola 235|refresco cola light 235ml|refresco cola light 235|coca-cola refresco cola light,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-355ML-LIGHT,Coca-Cola,Refresco cola,Light,355,ML,beverages,PIECE,,0.16,INCLUDES_IVA,18.00,coca-cola 355ml|coca-cola 355|refresco cola light 355ml|refresco cola light 355|coca-cola refresco cola light,beverages|refresco,,CURATED_MX_V4_PLUS
MX-BEV-COCACOLA-REFRESCOCOLA-450ML-LIGHT,Coca-Cola,Refresco cola,Light,450,ML,beverages,PIECE,,0.16,INCLUDES_IVA,20.00,coca-cola 450ml|coca-cola 450|refresco cola light 450ml|refresco cola light 450|coca-cola refresco cola light,beverages|refresco,,CURATED_MX_V4_PLUS
